Name of Restaurant,City,Country Code,Day Of Week,Start Time Hour,Start Time Minute,End Time Hour,End Time Minute
,,,,,,,
45 jermyn st london,London,GB,1,7,0,23,30
,,,,,,,
45 jermyn st london,London,GB,2,7,0,23,30
,,,,,,,
45 jermyn st london,London,GB,3,7,0,23,30
,,,,,,,
45 jermyn st london,London,GB,4,7,0,23,30
,,,,,,,
45 jermyn st london,London,GB,5,8,0,23,30
,,,,,,,
45 jermyn st london,London,GB,6,8,0,18,0
,,,,,,,
4fourteen surry hills,Surry Hills,AU,1,12,0,15,0
,,,,,,,
4fourteen surry hills,Surry Hills,AU,1,18,0,0,0
,,,,,,,
4fourteen surry hills,Surry Hills,AU,2,12,0,15,0
,,,,,,,
4fourteen surry hills,Surry Hills,AU,2,18,0,0,0
,,,,,,,
4fourteen surry hills,Surry Hills,AU,3,12,0,15,0
,,,,,,,
4fourteen surry hills,Surry Hills,AU,3,18,0,0,0
,,,,,,,
4fourteen surry hills,Surry Hills,AU,4,12,0,15,0
,,,,,,,
4fourteen surry hills,Surry Hills,AU,4,18,0,0,0
,,,,,,,
4fourteen surry hills,Surry Hills,AU,5,12,0,15,0
,,,,,,,
4fourteen surry hills,Surry Hills,AU,5,18,0,0,0
,,,,,,,
4fourteen surry hills,Surry Hills,AU,6,12,0,18,0
,,,,,,,
5 and dime bagels melbourne,Melbourne,AU,0,7,0,14,30
,,,,,,,
5 and dime bagels melbourne,Melbourne,AU,1,7,0,14,30
,,,,,,,
5 and dime bagels melbourne,Melbourne,AU,2,7,0,14,30
,,,,,,,
5 and dime bagels melbourne,Melbourne,AU,3,7,0,14,30
,,,,,,,
5 and dime bagels melbourne,Melbourne,AU,4,7,0,14,30
,,,,,,,
5 boroughs brisbane,Brisbane,AU,0,11,0,21,0
,,,,,,,
5 boroughs brisbane,Brisbane,AU,1,11,0,21,0
,,,,,,,
5 boroughs brisbane,Brisbane,AU,2,11,0,21,0
,,,,,,,
5 boroughs brisbane,Brisbane,AU,3,11,0,21,0
,,,,,,,
5 boroughs brisbane,Brisbane,AU,4,11,0,22,0
,,,,,,,
5 boroughs brisbane,Brisbane,AU,5,11,0,22,0
,,,,,,,
5 boroughs brisbane,Brisbane,AU,6,11,0,21,0
,,,,,,,
5 rabanitos restaurante and taqueria chicago,Chicago,US,1,11,0,21,0
,,,,,,,
5 rabanitos restaurante and taqueria chicago,Chicago,US,2,11,0,21,0
,,,,,,,
5 rabanitos restaurante and taqueria chicago,Chicago,US,3,11,0,21,0
,,,,,,,
5 rabanitos restaurante and taqueria chicago,Chicago,US,4,11,0,22,0
,,,,,,,
5 rabanitos restaurante and taqueria chicago,Chicago,US,5,9,0,22,0
,,,,,,,
5 rabanitos restaurante and taqueria chicago,Chicago,US,6,9,0,21,0
,,,,,,,
5 spices house boston,Boston,US,0,11,0,23,0
,,,,,,,
5 spices house boston,Boston,US,1,11,0,23,0
,,,,,,,
5 spices house boston,Boston,US,2,11,0,23,0
,,,,,,,
5 spices house boston,Boston,US,3,11,0,23,0
,,,,,,,
5 spices house boston,Boston,US,4,11,0,0,0
,,,,,,,
5 spices house boston,Boston,US,5,11,0,0,0
,,,,,,,
5 spices house boston,Boston,US,6,11,0,0,0
,,,,,,,
5 spot seattle,Seattle,US,0,8,0,23,0
,,,,,,,
5 spot seattle,Seattle,US,1,8,0,23,0
,,,,,,,
5 spot seattle,Seattle,US,2,8,0,23,0
,,,,,,,
5 spot seattle,Seattle,US,3,8,0,23,0
,,,,,,,
5 spot seattle,Seattle,US,4,8,0,23,0
,,,,,,,
5 spot seattle,Seattle,US,5,8,0,15,0
,,,,,,,
5 spot seattle,Seattle,US,5,17,0,0,0
,,,,,,,
5 spot seattle,Seattle,US,6,8,0,15,0
,,,,,,,
5 spot seattle,Seattle,US,6,17,0,0,0
,,,,,,,
500 degrees new york style pizzeria charlotte 2,Charlotte,US,0,11,0,21,0
,,,,,,,
500 degrees new york style pizzeria charlotte 2,Charlotte,US,1,11,0,21,0
,,,,,,,
500 degrees new york style pizzeria charlotte 2,Charlotte,US,2,11,0,21,0
,,,,,,,
500 degrees new york style pizzeria charlotte 2,Charlotte,US,3,11,0,21,0
,,,,,,,
500 degrees new york style pizzeria charlotte 2,Charlotte,US,4,11,0,23,0
,,,,,,,
