Word,Rank,Frequency
reply,1123,14
master,1124,14
staying,1125,14
utmost,1126,14
deep,1127,14
sea,1128,14
passage,1129,14
_I_,1130,14
instantly,1131,14
fears,1132,14
habit,1133,14
indifference,1134,14
spring,1135,14
remain,1136,14
servants,1137,14
caution,1138,14
explanation,1139,14
Ireland,1140,14
story,1141,14
musical,1142,14
consent,1143,14
Suckling,1144,14
bride,1145,13
prospect,1146,13
civil,1147,13
compassion,1148,13
By,1149,13
Who,1150,13
willing,1151,13
hearted,1152,13
harm,1153,13
former,1154,13
boy,1155,13
leisure,1156,13
girls,1157,13
public,1158,13
vanity,1159,13
winter,1160,13
light,1161,13
admitted,1162,13
strength,1163,13
Martins,1164,13
evidently,1165,13
Nash,1166,13
window,1167,13
follow,1168,13
fit,1169,13
undoubtedly,1170,13
confess,1171,13
objection,1172,13
expecting,1173,13
seldom,1174,13
appears,1175,13
blind,1176,13
endure,1177,13
suit,1178,13
fast,1179,13
bed,1180,13
judged,1181,13
Come,1182,13
Was,1183,13
proceeded,1184,13
unpleasant,1185,13
possibility,1186,13
attend,1187,13
imagination,1188,13
paper,1189,13
piece,1190,13
month,1191,13
Aye,1192,13
boys,1193,13
intelligence,1194,13
around,1195,13
stop,1196,13
arrival,1197,13
solicitude,1198,13
assist,1199,13
parting,1200,13
Quite,1201,13
avoid,1202,13
sensations,1203,13
suspicions,1204,13
observation,1205,13
suffer,1206,13
burst,1207,13
post,1208,13
particulars,1209,13
Larkins,1210,13
wonderful,1211,13
Richmond,1212,13
sisters,1213,12
intercourse,1214,12
advantages,1215,12
increased,1216,12
habits,1217,12
separate,1218,12
melancholy,1219,12
hard,1220,12
breakfast,1221,12
bye,1222,12
gallantry,1223,12
_that_,1224,12
claim,1225,12
silly,1226,12
break,1227,12
become,1228,12
importance,1229,12
begun,1230,12
probability,1231,12
truly,1232,12
formed,1233,12
moments,1234,12
eat,1235,12
earnestly,1236,12
school,1237,12
parlour,1238,12
becoming,1239,12
thorough,1240,12
An,1241,12
questions,1242,12
fancying,1243,12
above,1244,12
settle,1245,12
happen,1246,12
awkward,1247,12
_him_,1248,12
feared,1249,12
arranged,1250,12
material,1251,12
venture,1252,12
complexion,1253,12
size,1254,12
glance,1255,12
lead,1256,12
frightened,1257,12
decidedly,1258,12
sooner,1259,12
exclaimed,1260,12
finished,1261,12
touch,1262,12
peace,1263,12
doors,1264,12
desired,1265,12
d,1266,12
intelligible,1267,12
thus,1268,12
induced,1269,12
journey,1270,12
clear,1271,12
Could,1272,12
private,1273,12
proceed,1274,12
inquiry,1275,12
grandmama,1276,12
dining,1277,12
Of,1278,12
Vicarage,1279,12
wretched,1280,12
increase,1281,12
acknowledged,1282,12
seated,1283,12
misery,1284,12
throat,1285,12
excessively,1286,12
